###############################
HEALTHCARE, FULL, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas, 14.588315999996363, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]
HEALTHCARE, FULL, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 4.8933333333333335, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]
HEALTHCARE, FULL, PURE_RUN, 100, CTE, NON-MATERIALIZED, Umbra, 2.312333333333333, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]
HEALTHCARE, FULL, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas, 16.692299333347666, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]
HEALTHCARE, FULL, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 39.41466666666667, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]
HEALTHCARE, FULL, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Umbra, 2.9036666666666666, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]
HEALTHCARE, FULL, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas, 36.36628333333647, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]
HEALTHCARE, FULL, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 355.19800000000004, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]
HEALTHCARE, FULL, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Umbra, 5.072333333333332, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]
HEALTHCARE, FULL, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas, 393.4324000000136, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]
HEALTHCARE, FULL, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 4536.306666666666, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]
HEALTHCARE, FULL, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Umbra, 14.818999999999999, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]
HEALTHCARE, FULL, PURE_RUN, 1000000, CTE, NON-MATERIALIZED, Pandas, 38530.31982500003, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000000.csv')]
