###############################
COMPAS, FULL, INSPECTION, 100, CTE, NON-MATERIALIZED, Pandas, 150.41038999333978, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, FULL, INSPECTION, 100, CTE, NON-MATERIALIZED, PostgreSQL, 201.40660199103877, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, FULL, INSPECTION, 100, CTE, NON-MATERIALIZED, Umbra, 209.35750799253583, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, FULL, INSPECTION, 1000, CTE, NON-MATERIALIZED, Pandas, 242.43987901718356, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, FULL, INSPECTION, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 232.18325298512354, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, FULL, INSPECTION, 1000, CTE, NON-MATERIALIZED, Umbra, 230.53894500480965, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, FULL, INSPECTION, 10000, CTE, NON-MATERIALIZED, Pandas, 1206.1127339839004, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, FULL, INSPECTION, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 631.8864300264977, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, FULL, INSPECTION, 10000, CTE, NON-MATERIALIZED, Umbra, 364.7884090023581, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, FULL, INSPECTION, 100000, CTE, NON-MATERIALIZED, Pandas, 5806.145287991967, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, FULL, INSPECTION, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 2669.684855005471, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
