
###############################
COMPAS, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas, 5.0685563328443095, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Umbra, 0.754, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas, 13.794403334031813, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Umbra, 7.057000000000001, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas, 58.318510001602895, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Umbra, 8.106333333333333, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas, 288.0159500006509, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Umbra, 39.49333333333333, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, CTE, NON-MATERIALIZED, Pandas, 5106.347921333509, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, CTE, NON-MATERIALIZED, Umbra, 758.758, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, CTE, NON-MATERIALIZED, Pandas, 51549.16400666601, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]
